"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665467184.0091553","lq978dqb","534","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","3","0.001","8","0.018033958398378812","0.9928571428571428","0.03662141822663719","0.9642857142857144","0.262802342787634","0.99","0.9714285714285714"
"motor-explo-1665582274.6703522","lq978dqb","1010","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.4","7","0.0001","13","0.06182170692773026","0.9910714285714286","0.03032843435463405","0.9428571428571428","0.4988860934972763","0.99","0.9714285714285714"
"motor-explo-1665571020.4626946","lq978dqb","866","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","5","0.0001","17","0.01984055691281128","1","0.0014664614149534963","0.9714285714285714","0.2185712537760992","0.99","0.9714285714285714"
"motor-explo-1665586420.1773176","lq978dqb","874","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.5","5","0.0001","17","0.007626238398358964","0.9982142857142856","0.009034555016619884","0.9714285714285714","0.1307162605546182","0.99","0.9714285714285714"
"motor-explo-1665531486.9772608","lq978dqb","2797","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","7","0.00001","58","0.052324632972678434","0.9928571428571428","0.02131113536484658","0.9571428571428572","0.21461105424289903","0.99","0.9642857142857144"
"motor-explo-1665609397.5348659","kuhcmqm6","20991","Philipps-iMac.local","-","","","","32","0.7","7","0.0001","23","0.26960002575469844","0.9946428571428572","0.02529369661304928","0.9571428571428572","0.2636008322238922","0.99","0.9642857142857144"
"motor-explo-1665423588.463988","lq978dqb","927","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.3","7","0.0001","6","0.06382158040989908","1","0.0014078356385084589","0.9571428571428572","0.4057775981033922","0.99","0.9642857142857144"
"motor-explo-1665528093.6489165","lq978dqb","1888","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","5","0.00001","47","0.03474469497866396","0.9928571428571428","0.03302125160116702","0.9357142857142856","0.1694512617153426","0.99","0.9642857142857144"
"motor-explo-1665452664.427632","lq978dqb","1682","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.7","3","0.00001","49","0.05720272866092273","0.9910714285714286","0.07695159002118349","0.9571428571428572","0.1391952420551596","0.99","0.9642857142857144"
"motor-explo-1665560746.4815273","lq978dqb","665","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","5","0.001","9","0.04665982735761119","0.9910714285714286","0.027891246338452497","0.9642857142857144","0.161095779216339","0.99","0.9642857142857144"
